frame_id,child_frame_id,timestamp_sec,timestamp_nanosec,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w
map,-,62,383343558,81385.5390625,49922.42578125,43.087650299072266,0.0,0.0,0.0,0.0
map,-,62,583343591,81385.8984375,49922.66015625,43.09165954589844,0.0,0.0,0.0,0.0
map,-,62,783343624,81386.234375,49922.875,43.093048095703125,0.0,0.0,0.0,0.0
map,-,62,983343657,81386.5546875,49923.08203125,43.093902587890625,0.0,0.0,0.0,0.0
map,-,63,183343689,81386.84375,49923.265625,43.09675598144531,0.0,0.0,0.0,0.0
map,-,63,383343722,81387.1015625,49923.43359375,43.09968185424805,0.0,0.0,0.0,0.0
map,-,63,583343755,81387.328125,49923.58203125,43.101802825927734,0.0,0.0,0.0,0.0
map,-,63,783343788,81387.515625,49923.703125,43.10347366333008,0.0,0.0,0.0,0.0
map,-,63,983343821,81387.6796875,49923.80859375,43.10416793823242,0.0,0.0,0.0,0.0
map,-,64,183343853,81387.828125,49923.90234375,43.1053581237793,0.0,0.0,0.0,0.0
map,-,64,383343886,81387.9609375,49923.98828125,43.10670852661133,0.0,0.0,0.0,0.0
map,-,64,583343919,81388.0703125,49924.05859375,43.107479095458984,0.0,0.0,0.0,0.0
map,-,64,783343952,81388.1640625,49924.1171875,43.109046936035156,0.0,0.0,0.0,0.0
map,-,64,983343984,81388.21875,49924.15234375,43.11057662963867,0.0,0.0,0.0,0.0
map,-,65,183344017,81388.2265625,49924.15625,43.1108283996582,0.0,0.0,0.0,0.0
map,-,65,383344050,81388.2265625,49924.15625,43.1108283996582,0.0,0.0,0.0,0.0
map,-,65,583344083,81388.2265625,49924.15625,43.1108283996582,0.0,0.0,0.0,0.0
map,-,65,783344116,81388.2265625,49924.15625,43.1108283996582,0.0,0.0,0.0,0.0
map,-,65,983344148,81388.2265625,49924.15625,43.1108283996582,0.0,0.0,0.0,0.0
map,-,66,183344181,81388.2265625,49924.15625,43.1108283996582,0.0,0.0,0.0,0.0
map,-,66,383344214,81388.2265625,49924.15625,43.1108283996582,0.0,0.0,0.0,0.0
map,-,66,583344247,81388.2265625,49924.15625,43.1108283996582,0.0,0.0,0.0,0.0
map,-,66,783344279,81388.2265625,49924.15625,43.1108283996582,0.0,0.0,0.0,0.0
map,-,66,983344312,81388.2265625,49924.15625,43.1108283996582,0.0,0.0,0.0,0.0
map,-,67,183344345,81388.2265625,49924.15625,43.1108283996582,0.0,0.0,0.0,0.0
map,-,67,383344378,81388.2265625,49924.15625,43.1108283996582,0.0,0.0,0.0,0.0
map,-,67,583344411,81388.2265625,49924.15625,43.1108283996582,0.0,0.0,0.0,0.0
map,-,67,783344443,81388.2265625,49924.15625,43.1108283996582,0.0,0.0,0.0,0.0
map,-,67,983344476,81388.2265625,49924.15625,43.1108283996582,0.0,0.0,0.0,0.0
map,-,68,183344509,81388.2265625,49924.15625,43.1108283996582,0.0,0.0,0.0,0.0
map,-,68,383344542,81388.2265625,49924.15625,43.1108283996582,0.0,0.0,0.0,0.0
map,-,68,583344575,81388.2265625,49924.15625,43.1108283996582,0.0,0.0,0.0,0.0
